99 Delta A      Delta E          A            E
-151.313398    3.742686      192.014319    77.39655 
-162.512954    5.271141      213.439792    78.2963 
-137.350682    6.911448      242.845514    76.400606 
-131.655061    7.636881      266.262736    76.017467 
-181.226206    9.059797      302.022625    79.124494 
-181.443629    9.101922      329.149958    78.774133 
-182.021974    9.106118      355.424778    78.171522 
-197.601356    7.070271      30.526806     78.639633 
-221.971393    7.558862      43.938375     79.898272 
-180.542557    6.367285      68.619653     77.893133 
-177.731351    5.299574      86.254694     77.678578 
-158.748089    3.039041      114.648736    76.477356 
-209.679904    2.892053      131.945       79.8648 
-191.871288    2.725751      159.149986    79.534439 
-97.167391     2.344818      167.681069    67.892467 
-93.320668     1.724308      150.256569    66.457522 
-104.344815    .811078       131.932389    69.083356 
-94.643657     .24465        115.718986    65.485467 
-104.091558    2.478185      96.558125     68.591883 
-103.045251    3.789408      69.496278     68.355133 
-112.991353    5.344854      47.012236     69.651161 
-111.07032     6.377394      25.546319     69.1023 
-105.291459    6.427726      358.021417    68.584189 
-103.901646    7.644231      333.681125    69.5593 
-95.048638     7.625013      316.693208    67.864856 
-85.860861     7.536876      293.388181    66.3188 
-82.068953     7.605164      274.705375    66.449078 
-80.959032     5.019174      249.737181    67.696744 
-92.616578     4.398806      230.102486    69.372189 
-97.401926     3.629658      207.681583    69.866272 
-96.509264     3.040497      184.735333    69.22255 
-68.91812     -2.072604      182.916097    57.900494 
-66.616094    -.714614       205.300653    59.68805 
-62.130601    -1.706571      222.629278    57.510828 
-62.757421     1.765207      246.079458    59.538772 
-63.795159     2.998498      268.252236    59.67155 
-68.08467      2.82716       293.883764    58.781411 
-73.112883     2.312051      315.176403    59.184967 
-74.479204     4.711974      333.447056    59.6343 
-75.172308     4.177909      .433847       57.603828 
-78.141682     3.226781      24.908681     59.872661 
-78.284829     2.272083      42.298222     59.522522 
-75.456408     .710521       62.521944     59.4508 
-75.672704     .464379       88.828792     59.694939 
-75.05825     -.228112       114.041069    59.905411 
-73.211112    -3.580628      131.022736    58.519078 
-74.873081    -2.302065      156.486639    59.19505 
-69.397264    -1.798482      174.647681    58.369272 
-54.679906    -6.202268      175.958903    47.360356 
-58.918803    -7.880217      156.989375    48.811467 
-60.234526    -7.494697      136.890958    49.104633 
-60.65564     -6.192778      112.398153    49.764717 
-58.957168    -5.613176      93.669667     49.201578 
-59.703168    -1.505366      67.143375     49.965328 
-58.112669    -2.693575      45.574472     48.460106 
-61.35919     -1.042776      22.977389     49.456661 
-60.7998      -.90406        358.989625    48.438744 
-61.228179    -1.180753      338.291847    48.677772 
-59.326763    -.34797        315.262361    48.597272 
-53.458483     .236898       292.696722    48.071411 
-52.181481    -.518245       273.120944    49.634161 
-49.982758    -2.605414      249.584778    49.816244 
-50.216882    -4.153582      226.557375    47.888133 
-55.583035    -3.533316      203.75975     49.552994 
-54.206093    -5.752485      184.865056    46.673356 
-47.258394    -10.097504     186.30225     37.413383 
-49.439498    -9.662395      205.121944    39.228939 
-45.712538    -9.013248      228.186194    39.458772 
-41.911412    -6.323843      246.113125    36.810272 
-44.474522    -4.914899      270.116028    39.092133 
-46.775098    -6.619885      293.790639    37.991911 
-49.772682    -4.204235      314.061889    37.485133 
-51.748268    -3.79885       333.342111    39.874494 
-52.539812    -5.494008      359.665528    39.21555 
-51.764379    -5.376852      21.672944     37.51355 
-50.394638    -7.175989      45.046306     39.365439 
-49.473252    -7.363515      68.139694     39.676744 
-47.72497     -10.624878     92.880778     38.538356 
-52.666072    -10.35238      113.109431    39.439189 
-53.26421     -12.108369     135.1775      39.083883 
-52.802332    -10.50409      156.994778    39.511189 
-49.633829    -10.292944     177.189819    37.812272 
-45.846328    -15.905614     175.163583    29.632744 
-47.728491    -14.215046     155.445222    29.925689 
-46.975469    -16.719589     133.398153    28.168133 
-47.346488    -15.129691     112.951       28.561633 
-43.166104    -15.965398     91.673806     27.454744 
-44.41846     -12.683746     68.68425      29.282133 
-45.686001    -12.323336     45.128569     27.337189 
-46.761492    -11.050352     22.853167     29.647911 
-46.961762    -10.213057     359.533278    28.645383 
-47.0218      -9.476994      339.484319    27.875356 
-46.969663    -8.793127      315.880792    29.086439 
-43.476713    -11.412411     291.875139    29.545078 
-40.382987    -11.749537     269.492889    28.718939 
-40.434101    -12.37003      246.814028    28.674606 
-42.830179    -13.403406     223.838458    27.697744 
-44.493929    -13.136302     204.729958    29.28905 
-44.98323     -15.156393     183.297694    28.826967 
