    1 Eps Peg      5.69058986      0.17235120  2.39 K2Ib
    2 Alp Peg      6.04216677      0.26537948  2.49 B9V
    3 Gam Peg      0.05775605      0.26500324  2.83 B2IV
    4 Bet Cet      0.19021295     -0.31392445  2.04 G9.5IIICH-1
    5 Alp Cet      0.79534596      0.07137414  2.53 M1.5IIIa
    6 Alp Tau      1.20393231      0.28812720  0.85 K5+III
    7 Bet Eri      1.34324294     -0.08877940  2.79 A3III
    8 Bet Ori      1.37243239     -0.14314615  0.12 B8Ia:
    9 Gam Ori      1.41865394      0.11082267  1.64 B2III
   10 Del Ori      1.44865243     -0.00522157  2.23 O9.5II
   11 Iot Ori      1.46360402     -0.10314890  2.77 O9III
   12 Eps Ori      1.46700748     -0.02097802  1.70 B0Ia
   13 Zet Ori      1.48683891     -0.03390800  2.05 O9.7Ib
   14 Alp Ori      1.54973042      0.12927614  0.50 M1-2Ia-Iab
   15 Gam Gem      1.73534731      0.28621677  1.93 A0IV
   16 Bet Aur      1.56873316      0.78448187  1.90 A2IV
   17 The Aur      1.56958571      0.64947548  2.62 A0pSi
   18  Mu Gem      1.67098195      0.39292956  2.88 M3IIIab
   19 Alp Gem      1.98355377      0.55655494  2.88 A2Vm
   20 Alp Gem      1.98355385      0.55655016  1.98 A1V
   21 Zet Per      1.02159257      0.55647335  2.85 B1Ib
   22 Eps Per      1.03783245      0.69830942  2.89 B0.5V+A2V
   23 Iot Aur      1.29587811      0.57885669  2.69 K3II
   24 Alp Aur      1.38182778      0.80279041  0.08 G5IIIe+G0III
   25 Bet Tau      1.42371757      0.49928390  1.65 B7III
   26 Bet Ari      0.50021791      0.36316200  2.64 A5V
   27 Gam And      0.54061962      0.73878971  2.26 K3-IIb
   28 Alp Ari      0.55491156      0.40948843  2.00 K2-IIICa-1
   29 Bet Per      0.82103958      0.71480923  2.12 B8V
   30 Alp Per      0.89153110      0.87023896  1.79 F5Ib
   31 Eta Tau      0.99259189      0.42070868  2.87 B7IIIe
   32 Alp And      0.03661094      0.50771558  2.06 B8IVpMnHg
   33 Bet Cas      0.04011334      1.03234586  2.27 F2III-IV
   34 Alp Cas      0.17675708      0.98675864  2.23 K0IIIa
   35 Gam Cas      0.24744017      1.05970543  2.47 B0IVe
   36 Bet And      0.30427576      0.62168870  2.06 M0+IIIa
   37 Del Cas      0.37448401      1.05130067  2.68 A5III-IV
   38 Bet Peg      6.03787113      0.49014567  2.42 M2.5II-III
   39 Gam Cyg      5.33297749      0.70261138  2.20 F8Ib
   40 Alp Cyg      5.41676778      0.79029006  1.25 A2Ia
   41 Eps Cyg      5.43765157      0.59291412  2.46 K0-III
   42 Alp Cep      5.57887861      1.09232713  2.44 A7V
   43 Del Cyg      5.17043362      0.78768463  2.87 B9.5IV+F1V
