A axis
2013/ 2/19  16Ω√56∫–52√ 
   0 -1520378.0     5252.0       -0.8
   1 -1500559.0     5183.0       -1.3
   2 -1480438.0     5114.0       -0.8
   3 -1460376.0     5044.0       -1.5
   4 -1440376.0     4975.0       -1.4
   5 -1420558.0     4907.0       -0.9
   6 -1400418.0     4837.0       -1.3
   7 -1380515.0     4768.0       -1.5
   8 -1360374.0     4699.0       -0.9
   9 -1340374.0     4630.0       -0.8
  10 -1320437.0     4561.0       -0.9
  11 -1300373.0     4492.0       -0.6
  12 -1280416.0     4423.0       -0.6
  13 -1260373.0     4354.0       -0.4
  14 -1240375.0     4285.0       -0.3
  15 -1220416.0     4216.0       -0.3
  16 -1200553.0     4148.0        0.3
  17 -1180413.0     4078.0       -0.1
  18 -1160375.0     4009.0        0.1
  19 -1140353.0     3940.0        0.3
  20 -1120554.0     3872.0        0.7
  21 -1100370.0     3802.0        0.5
  22 -1080373.0     3733.0        0.6
  23 -1060371.0     3664.0        0.7
  24 -1040374.0     3595.0        0.8
  25 -1020370.0     3526.0        0.9
  26 -1000373.0     3457.0        1.0
  27  -980431.0     3388.0        0.9
  28  -960532.0     3319.0        0.7
  29  -940351.0     3249.0        0.4
  30  -920372.0     3180.0        0.5
  31  -900371.0     3111.0        0.6
  32  -880370.0     3041.0       -0.3
  33  -860547.0     2973.0        0.2
  34  -840347.0     2903.0       -0.0
  35  -820368.0     2834.0        0.0
  36  -800428.0     2765.0       -0.1
  37  -780368.0     2696.0        0.2
  38  -760411.0     2628.0        1.2
  39  -740367.0     2559.0        1.5
  40  -720549.0     2490.0        0.9
  41  -700367.0     2420.0        0.7
  42  -680406.0     2351.0        0.6
  43  -660364.0     2282.0        0.9
  44  -640366.0     2213.0        1.0
  45  -620407.0     2144.0        1.0
  46  -600545.0     2075.0        0.6
  47  -580426.0     2005.0        0.1
  48  -560543.0     1937.0        0.8
  49  -540364.0     1867.0        0.6
  50  -520364.0     1797.0       -0.3
  51  -500405.0     1729.0        0.6
  52  -480365.0     1660.0        0.9
  53  -460364.0     1591.0        1.0
  54  -440401.0     1522.0        1.0
  55  -420364.0     1453.0        1.2
  56  -400362.0     1384.0        1.3
  57  -380542.0     1315.0        0.8
  58  -360404.0     1245.0        0.4
  59  -340363.0     1176.0        0.6
  60  -320403.0     1107.0        0.6
  61  -300363.0     1038.0        0.9
  62  -280360.0      968.0       -0.0
  63  -260341.0      899.0        0.2
  64  -240359.0      830.0        0.2
  65  -220361.0      760.0       -0.7
  66  -200359.0      692.0        0.4
  67  -180359.0      622.0       -0.5
  68  -160397.0      553.0       -0.5
  69  -140359.0      484.0       -0.3
  70  -120418.0      415.0       -0.4
  71  -100358.0      345.0       -1.0
  72   -80356.0      277.0        0.1
  73   -60417.0      208.0       -0.0
  74   -40536.0      139.0       -0.3
  75   -20357.0       69.0       -0.6
  76     -537.0        0.0       -1.1
  77    19646.0      -69.0       -0.4
  78    39464.0     -138.0       -0.9
  79    59443.0     -207.0       -0.9
  80    79586.0     -276.0       -0.3
  81    99585.0     -345.0       -0.2
  82   119644.0     -415.0       -0.8
  83   139645.0     -484.0       -0.7
  84   159464.0     -552.0       -0.2
  85   179468.0     -622.0       -1.1
  86   199445.0     -691.0       -1.1
  87   219446.0     -760.0       -1.0
  88   242549.0     -840.0       -1.1
